"timestamp","player_id","display_name","skill_q","skill_e","skill_f","ult_id","f_role_id","desc_q","desc_e","desc_f","ultimate","preset_conclusions","ratings","skill_focus","issue_tags","note","recording_file","replay_file"
"2026-03-15 11:00:09","butcher","屠夫","skill_butcher_q","skill_butcher_e","skill_butcher_f","butcher_ult","butcher","沿路径展开链锯切割墙，持续伤害并把敌人推离路径。","肉桩钉锁：钉住并牵引目标，拉向最近锯链或闭合圈边。","屠夫进入血锯屠场窗口并强化画线屠杀","血之狂怒","CLI auto","5","Q-open feel;E follow-up;F pressure","automation","Auto acceptance run for butcher","user://qa_reports/input_recordings/player_ops_20260315_110009.json","user://qa_reports/input_recordings/player_ops_20260315_110009.json"
"2026-03-15 11:01:59","butcher","屠夫","skill_butcher_q","skill_butcher_e","skill_butcher_f","butcher_ult","butcher","沿路径展开链锯切割墙，持续伤害并把敌人推离路径。","肉桩钉锁：钉住并牵引目标，拉向最近锯链或闭合圈边。","屠夫进入血锯屠场窗口并强化画线屠杀","血之狂怒","CLI auto","5","Q-open feel;E follow-up;F pressure","automation","Auto acceptance run for butcher","user://qa_reports/input_recordings/player_ops_20260315_110158.json","user://qa_reports/input_recordings/player_ops_20260315_110158.json"
"2026-03-15 11:03:29","butcher","屠夫","skill_butcher_q","skill_butcher_e","skill_butcher_f","butcher_ult","butcher","沿路径展开链锯切割墙，持续伤害并把敌人推离路径。","肉桩钉锁：钉住并牵引目标，拉向最近锯链或闭合圈边。","屠夫进入血锯屠场窗口并强化画线屠杀","血之狂怒","CLI auto","5","Q-open feel;E follow-up;F pressure","automation","Auto acceptance run for butcher","user://qa_reports/input_recordings/player_ops_20260315_110328.json","user://qa_reports/input_recordings/player_ops_20260315_110328.json"
"2026-03-15 11:04:36","butcher","屠夫","skill_butcher_q","skill_butcher_e","skill_butcher_f","butcher_ult","butcher","沿路径展开链锯切割墙，持续伤害并把敌人推离路径。","肉桩钉锁：钉住并牵引目标，拉向最近锯链或闭合圈边。","屠夫进入血锯屠场窗口并强化画线屠杀","血之狂怒","CLI auto","5","Q-open feel;E follow-up;F pressure","automation","Auto acceptance run for butcher","user://qa_reports/input_recordings/player_ops_20260315_110436.json","user://qa_reports/input_recordings/player_ops_20260315_110436.json"
"2026-03-15 11:06:42","butcher","屠夫","skill_butcher_q","skill_butcher_e","skill_butcher_f","butcher_ult","butcher","沿路径展开链锯切割墙，持续伤害并把敌人推离路径。","肉桩钉锁：钉住并牵引目标，拉向最近锯链或闭合圈边。","屠夫进入血锯屠场窗口并强化画线屠杀","血之狂怒","CLI auto","5","Q-open feel;E follow-up;F pressure","automation","Auto acceptance run for butcher","user://qa_reports/input_recordings/player_ops_20260315_110642.json","user://qa_reports/input_recordings/player_ops_20260315_110642.json"
"2026-03-15 11:08:14","butcher","屠夫","skill_butcher_q","skill_butcher_e","skill_butcher_f","butcher_ult","butcher","沿路径展开链锯切割墙，持续伤害并把敌人推离路径。","肉桩钉锁：钉住并牵引目标，拉向最近锯链或闭合圈边。","屠夫进入血锯屠场窗口并强化画线屠杀","血之狂怒","CLI auto","5","Q-open feel;E follow-up;F pressure","automation","Auto acceptance run for butcher","user://qa_reports/input_recordings/player_ops_20260315_110814.json","user://qa_reports/input_recordings/player_ops_20260315_110814.json"
"2026-03-15 11:56:21","weaver","织网者","skill_weaver_q","skill_weaver_e","skill_weaver_f","weaver_ult","weaver","沿路径编织蛛网线，延迟后收网对路径上敌人造成伤害。","麻痹梭：在蛛网节点间弹射，短暂麻痹并补诅咒层。","织网者启动万丝归巢并强化闭合禁行","万丝归巢","CLI auto","5","Q-open feel;E follow-up;F pressure","automation","Auto acceptance run for weaver","user://qa_reports/input_recordings/player_ops_20260315_115620.json","user://qa_reports/input_recordings/player_ops_20260315_115620.json"
"2026-03-15 11:56:21","wind","风行者","skill_wind_q","skill_wind_e","skill_wind_f","wind_ult","wind","沿路径创建风墙，将敌人吸向风墙中心并造成伤害。","回旋踏切：位移后回斩最近风线，附短牵引。","风行者开启飓眼迁跃并强化牵引风切","风之升华","CLI auto","5","Q-open feel;E follow-up;F pressure","automation","Auto acceptance run for wind","user://qa_reports/input_recordings/player_ops_20260315_115621.json","user://qa_reports/input_recordings/player_ops_20260315_115621.json"
"2026-03-15 11:56:21","lurewarden","诱猎师","skill_lurewarden_q","skill_lurewarden_e","skill_lurewarden_f","lurewarden_ult","lurewarden","沿路径布下诱饵哨标，切线冲刺并误导追兵。","号哨突进：命令诱饵哨标前冲，优先把敌人顶向诱猎边缘。","诱猎师开启诱猎号令并强化诱饵围捕","诱猎号令","CLI auto","5","Q-open feel;E follow-up;F pressure","automation","Auto acceptance run for lurewarden","user://qa_reports/input_recordings/player_ops_20260315_115621.json","user://qa_reports/input_recordings/player_ops_20260315_115621.json"
"2026-03-15 11:56:22","quartermaster","军需官","skill_quartermaster_q","skill_quartermaster_e","skill_quartermaster_f","quartermaster_ult","quartermaster","沿路径创建压制弹链，使敌人易伤并持续受创。","战术换弹：立即装填并打出短压制射击。","军需官进入火力链路并增强压制节奏","火力链路","CLI auto","5","Q-open feel;E follow-up;F pressure","automation","Auto acceptance run for quartermaster","user://qa_reports/input_recordings/player_ops_20260315_115621.json","user://qa_reports/input_recordings/player_ops_20260315_115621.json"
"2026-03-15 11:56:22","singularist","坍缩师","skill_singularist_q","skill_singularist_e","skill_singularist_f","singularist_ult","singularist","沿路径构建传送带，牵引并压碎敌人。","反向喷口：外推打断近身并制造二段牵引。","坍缩师启动奇点牵引并强化坍缩爆发","奇点牵引","CLI auto","5","Q-open feel;E follow-up;F pressure","automation","Auto acceptance run for singularist","user://qa_reports/input_recordings/player_ops_20260315_115622.json","user://qa_reports/input_recordings/player_ops_20260315_115622.json"
"2026-03-15 11:56:22","banner","旗令官","skill_banner_q","skill_banner_e","skill_banner_f","banner_ult","banner","沿路径创建冲锋线，使队友穿模并加速。","军号冲阵：引爆旗点并形成冲锋波。","旗手发布总攻军令并推进战线","总攻军令","CLI auto","5","Q-open feel;E follow-up;F pressure","automation","Auto acceptance run for banner","user://qa_reports/input_recordings/player_ops_20260315_115622.json","user://qa_reports/input_recordings/player_ops_20260315_115622.json"
"2026-03-15 11:59:32","wind","风行者","skill_wind_q","skill_wind_e","skill_wind_f","wind_ult","wind","沿路径创建风墙，将敌人吸向风墙中心并造成伤害。","回旋踏切：位移后回斩最近风线，附短牵引。","风行者开启飓眼迁跃并强化牵引风切","风之升华","CLI auto","5","Q-open feel;E follow-up;F pressure","automation","Auto acceptance run for wind","user://qa_reports/input_recordings/player_ops_20260315_115929_540_wind.json","user://qa_reports/input_recordings/player_ops_20260315_115929_540_wind.json"
"2026-03-15 11:59:36","lurewarden","诱猎师","skill_lurewarden_q","skill_lurewarden_e","skill_lurewarden_f","lurewarden_ult","lurewarden","沿路径布下诱饵哨标，切线冲刺并误导追兵。","号哨突进：命令诱饵哨标前冲，优先把敌人顶向诱猎边缘。","诱猎师开启诱猎号令并强化诱饵围捕","诱猎号令","CLI auto","5","Q-open feel;E follow-up;F pressure","automation","Auto acceptance run for lurewarden","user://qa_reports/input_recordings/player_ops_20260315_115932_069_lurewarden.json","user://qa_reports/input_recordings/player_ops_20260315_115932_069_lurewarden.json"
"2026-03-15 11:59:40","quartermaster","军需官","skill_quartermaster_q","skill_quartermaster_e","skill_quartermaster_f","quartermaster_ult","quartermaster","沿路径创建压制弹链，使敌人易伤并持续受创。","战术换弹：立即装填并打出短压制射击。","军需官进入火力链路并增强压制节奏","火力链路","CLI auto","5","Q-open feel;E follow-up;F pressure","automation","Auto acceptance run for quartermaster","user://qa_reports/input_recordings/player_ops_20260315_115936_751_quartermaster.json","user://qa_reports/input_recordings/player_ops_20260315_115936_751_quartermaster.json"
